
PID 4908 created child for Store1 PID:8270
PID 4908 created child for Store2 PID:8271
PID 8270 created child for Apparel PID: 8272
PID 4908 created child for Store3 PID:8274
PID 8271 created child for Apparel PID: 8273
PID 8274 created child for Apparel PID: 8275
PID 4908 created child for Store1 PID:8637
PID 4908 created child for Store2 PID:8638
PID 8637 created child for Apparel PID: 8639
PID 4908 created child for Store3 PID:8640
PID 8638 created child for Apparel PID: 8641
PID 8639 created thread for 008642ID TID: 8642
PID 8640 created child for Apparel PID: 8643
PID 8641 created thread for 008644ID TID: 8644
PID 8639 created thread for 008645ID TID: 8645
PID 8643 created thread for 008646ID TID: 8646
PID 8641 created thread for 008648ID TID: 8648
PID 8643 created thread for 008647ID TID: 8647
PID 8639 created thread for 008649ID TID: 8649
PID 8641 created thread for 008650ID TID: 8650
PID 8639 created thread for 008652ID TID: 8652
PID 8643 created thread for 008651ID TID: 8651
PID 8641 created thread for 008653ID TID: 8653
PID 8641 created thread for 008655ID TID: 8655
PID 8639 created thread for 008654ID TID: 8654
PID 8643 created thread for 008657ID TID: 8657
PID 8641 created thread for 008656ID TID: 8656
PID 8643 created thread for 008658ID TID: 8658
PID 8639 created thread for 008660ID TID: 8660
PID 8643 created thread for 008659ID TID: 8659
PID 8641 created thread for 008661ID TID: 8661
PID 8639 created thread for 008662ID TID: 8662
PID 8639 created thread for 008663ID TID: 8663
PID 8643 created thread for 008664ID TID: 8664
PID 8641 created thread for 008665ID TID: 8665
PID 8643 created thread for 008668ID TID: 8668
PID 8639 created thread for 008667ID TID: 8667
PID 8641 created thread for 008669ID TID: 8669
PID 8641 created thread for 008672ID TID: 8672
PID 8643 created thread for 008670ID TID: 8670
PID 8643 created thread for 008674ID TID: 8674
PID 8639 created thread for 008671ID TID: 8671
PID 8641 created thread for 008673ID TID: 8673
PID 8639 created thread for 008677ID TID: 8677
PID 8641 created thread for 008675ID TID: 8675
PID 8643 created thread for 008676ID TID: 8676
PID 8639 created thread for 008678ID TID: 8678
PID 8641 created thread for 008679ID TID: 8679
PID 8643 created thread for 008680ID TID: 8680
PID 8639 created thread for 008682ID TID: 8682
PID 8643 created thread for 008683ID TID: 8683
PID 8641 created thread for 008681ID TID: 8681
PID 8643 created thread for 008685ID TID: 8685
PID 8639 created thread for 008684ID TID: 8684
PID 8643 created thread for 008687ID TID: 8687
PID 8641 created thread for 008686ID TID: 8686
PID 8643 created thread for 008688ID TID: 8688
PID 8639 created thread for 008689ID TID: 8689
PID 8641 created thread for 008690ID TID: 8690
PID 8643 created thread for 008691ID TID: 8691
PID 8639 created thread for 008692ID TID: 8692
PID 8641 created thread for 008693ID TID: 8693
PID 8643 created thread for 008694ID TID: 8694
PID 8639 created thread for 008695ID TID: 8695
PID 8643 created thread for 008697ID TID: 8697
PID 8641 created thread for 008696ID TID: 8696
PID 8639 created thread for 008698ID TID: 8698
PID 8641 created thread for 008699ID TID: 8699
PID 8643 created thread for 008700ID TID: 8700
PID 8639 created thread for 008701ID TID: 8701
PID 8641 created thread for 008702ID TID: 8702
PID 8643 created thread for 008703ID TID: 8703
PID 8641 created thread for 008704ID TID: 8704
PID 8639 created thread for 008705ID TID: 8705
PID 8641 created thread for 008707ID TID: 8707
PID 8643 created thread for 008706ID TID: 8706
PID 8639 created thread for 008708ID TID: 8708
PID 8639 created thread for 008710ID TID: 8710
PID 8641 created thread for 008711ID TID: 8711
PID 8643 created thread for 008709ID TID: 8709
PID 8639 created thread for 008714ID TID: 8714
PID 8643 created thread for 008712ID TID: 8712
PID 8641 created thread for 008713ID TID: 8713
PID 8643 created thread for 008715ID TID: 8715
PID 8639 created thread for 008716ID TID: 8716
PID 8643 created thread for 008717ID TID: 8717
PID 8641 created thread for 008718ID TID: 8718
PID 8641 created thread for 008720ID TID: 8720
PID 8643 created thread for 008719ID TID: 8719
PID 8639 created thread for 008721ID TID: 8721
PID 8643 created thread for 008722ID TID: 8722
PID 8639 created thread for 008723ID TID: 8723
PID 8641 created thread for 008724ID TID: 8724
PID 8643 created thread for 008725ID TID: 8725
PID 8641 created thread for 008726ID TID: 8726
PID 8639 created thread for 008727ID TID: 8727
PID 8639 created thread for 008728ID TID: 8728
PID 8643 created thread for 008729ID TID: 8729
PID 8639 created thread for 008730ID TID: 8730
PID 8643 created thread for 008732ID TID: 8732
PID 8641 created thread for 008731ID TID: 8731
PID 8643 created thread for 008733ID TID: 8733
PID 8641 created thread for 008734ID TID: 8734
PID 8639 created thread for 008735ID TID: 8735
PID 8643 created thread for 008737ID TID: 8737
PID 8641 created thread for 008736ID TID: 8736
PID 8639 created thread for 008738ID TID: 8738
PID 8643 created thread for 008739ID TID: 8739
PID 8639 created thread for 008741ID TID: 8741
PID 8643 created thread for 008742ID TID: 8742
PID 8641 created thread for 008740ID TID: 8740
PID 8639 created thread for 008743ID TID: 8743
PID 8641 created thread for 008744ID TID: 8744
PID 8643 created thread for 008746ID TID: 8746
PID 8639 created thread for 008745ID TID: 8745
PID 8641 created thread for 008748ID TID: 8748
PID 8643 created thread for 008747ID TID: 8747
PID 8639 created thread for 008749ID TID: 8749
PID 8643 created thread for 008750ID TID: 8750
PID 8639 created thread for 008752ID TID: 8752
PID 8641 created thread for 008751ID TID: 8751
PID 8643 created thread for 008754ID TID: 8754
PID 8639 created thread for 008753ID TID: 8753
PID 8641 created thread for 008755ID TID: 8755
PID 8641 created thread for 008757ID TID: 8757
PID 8643 created thread for 008758ID TID: 8758
PID 8643 created thread for 008759ID TID: 8759
PID 8639 created thread for 008756ID TID: 8756
PID 8643 created thread for 008761ID TID: 8761
PID 8643 created thread for 008762ID TID: 8762
PID 8641 created thread for 008760ID TID: 8760
PID 8643 created thread for 008763ID TID: 8763
PID 8643 created thread for 008765ID TID: 8765
PID 8641 created thread for 008764ID TID: 8764
PID 8643 created thread for 008767ID TID: 8767
PID 8639 created thread for 008766ID TID: 8766
PID 8641 created thread for 008768ID TID: 8768
PID 8639 created thread for 008770ID TID: 8770
PID 8643 created thread for 008769ID TID: 8769
PID 8641 created thread for 008771ID TID: 8771
PID 8641 created thread for 008772ID TID: 8772
PID 8639 created thread for 008773ID TID: 8773
PID 8643 created thread for 008774ID TID: 8774
PID 8641 created thread for 008775ID TID: 8775
PID 8639 created thread for 008777ID TID: 8777
PID 8641 created thread for 008778ID TID: 8778
PID 8639 created thread for 008779ID TID: 8779
PID 8643 created thread for 008776ID TID: 8776
PID 8639 created thread for 008780ID TID: 8780
PID 8641 created thread for 008781ID TID: 8781
PID 8639 created thread for 008782ID TID: 8782
PID 8641 created thread for 008783ID TID: 8783
PID 8643 created thread for 008784ID TID: 8784
PID 8641 created thread for 008785ID TID: 8785
PID 8639 created thread for 008786ID TID: 8786
PID 8641 created thread for 008787ID TID: 8787
PID 8639 created thread for 008789ID TID: 8789
PID 8643 created thread for 008788ID TID: 8788
PID 8639 created thread for 008790ID TID: 8790
PID 8641 created thread for 008791ID TID: 8791
PID 8639 created thread for 008792ID TID: 8792
PID 8643 created thread for 008793ID TID: 8793
PID 8639 created thread for 008794ID TID: 8794
PID 8641 created thread for 008795ID TID: 8795
PID 8643 created thread for 008796ID TID: 8796
PID 8643 created thread for 008798ID TID: 8798
PID 8639 created thread for 008797ID TID: 8797
PID 8641 created thread for 008799ID TID: 8799
PID 8639 created thread for 008800ID TID: 8800
PID 8643 created thread for 008801ID TID: 8801
PID 8641 created thread for 008802ID TID: 8802
PID 8639 created thread for 008803ID TID: 8803
PID 8643 created thread for 008804ID TID: 8804
PID 8641 created thread for 008805ID TID: 8805
PID 8639 created thread for 008806ID TID: 8806
PID 8643 created thread for 008807ID TID: 8807
PID 8641 created thread for 008808ID TID: 8808
PID 8643 created thread for 008809ID TID: 8809
PID 8639 created thread for 008810ID TID: 8810
PID 8641 created thread for 008811ID TID: 8811
PID 8643 created thread for 008812ID TID: 8812
PID 8641 created thread for 008814ID TID: 8814
PID 8639 created thread for 008813ID TID: 8813
PID 8641 created thread for 008815ID TID: 8815
PID 8639 created thread for 008817ID TID: 8817
PID 8643 created thread for 008816ID TID: 8816
PID 8641 created thread for 008818ID TID: 8818
PID 8643 created thread for 008819ID TID: 8819
PID 8641 created thread for 008820ID TID: 8820
PID 8643 created thread for 008821ID TID: 8821
PID 8639 created thread for 008823ID TID: 8823
PID 8641 created thread for 008822ID TID: 8822
PID 8643 created thread for 008824ID TID: 8824
PID 8639 created thread for 008825ID TID: 8825
PID 8641 created thread for 008827ID TID: 8827
PID 8643 created thread for 008826ID TID: 8826
PID 8639 created thread for 008828ID TID: 8828
PID 8643 created thread for 008829ID TID: 8829
