PID 10116 created child for Store1 PID:10401
PID 10116 created child for Store2 PID:10403
PID 10401 created child for Apparel PID: 10402
PID 10116 created child for Store3 PID:10404
PID 10403 created child for Apparel PID: 10405
PID 10402 created thread for 010407ID TID: 10407
PID 10405 created thread for 010408ID TID: 10408
PID 10404 created child for Apparel PID: 10406
PID 10405 created thread for 010410ID TID: 10410
PID 10402 created thread for 010409ID TID: 10409
PID 10406 created thread for 010411ID TID: 10411
PID 10405 created thread for 010412ID TID: 10412
PID 10402 created thread for 010413ID TID: 10413
PID 10406 created thread for 010414ID TID: 10414
PID 10402 created thread for 010415ID TID: 10415
PID 10405 created thread for 010416ID TID: 10416
PID 10402 created thread for 010417ID TID: 10417
PID 10405 created thread for 010418ID TID: 10418
PID 10406 created thread for 010419ID TID: 10419
PID 10405 created thread for 010420ID TID: 10420
PID 10402 created thread for 010421ID TID: 10421
PID 10406 created thread for 010422ID TID: 10422
PID 10402 created thread for 010424ID TID: 10424
PID 10405 created thread for 010423ID TID: 10423
PID 10402 created thread for 010425ID TID: 10425
PID 10406 created thread for 010426ID TID: 10426
PID 10402 created thread for 010427ID TID: 10427
PID 10405 created thread for 010428ID TID: 10428
PID 10406 created thread for 010430ID TID: 10430
PID 10402 created thread for 010431ID TID: 10431
PID 10406 created thread for 010432ID TID: 10432
PID 10405 created thread for 010433ID TID: 10433
PID 10402 created thread for 010434ID TID: 10434
PID 10402 created thread for 010436ID TID: 10436
PID 10406 created thread for 010435ID TID: 10435
PID 10405 created thread for 010437ID TID: 10437
PID 10402 created thread for 010438ID TID: 10438
PID 10406 created thread for 010439ID TID: 10439
PID 10405 created thread for 010440ID TID: 10440
PID 10402 created thread for 010441ID TID: 10441
PID 10406 created thread for 010442ID TID: 10442
PID 10405 created thread for 010443ID TID: 10443
PID 10406 created thread for 010444ID TID: 10444
PID 10402 created thread for 010445ID TID: 10445
PID 10405 created thread for 010446ID TID: 10446
PID 10405 created thread for 010448ID TID: 10448
PID 10406 created thread for 010449ID TID: 10449
PID 10406 created thread for 010450ID TID: 10450
PID 10402 created thread for 010447ID TID: 10447
PID 10405 created thread for 010451ID TID: 10451
PID 10406 created thread for 010452ID TID: 10452
PID 10402 created thread for 010453ID TID: 10453
PID 10405 created thread for 010454ID TID: 10454
PID 10406 created thread for 010455ID TID: 10455
PID 10402 created thread for 010456ID TID: 10456
PID 10405 created thread for 010457ID TID: 10457
PID 10406 created thread for 010458ID TID: 10458
PID 10402 created thread for 010459ID TID: 10459
PID 10405 created thread for 010461ID TID: 10461
PID 10406 created thread for 010460ID TID: 10460
PID 10402 created thread for 010462ID TID: 10462
PID 10406 created thread for 010463ID TID: 10463
PID 10405 created thread for 010464ID TID: 10464
PID 10402 created thread for 010465ID TID: 10465
PID 10406 created thread for 010466ID TID: 10466
PID 10405 created thread for 010467ID TID: 10467
PID 10406 created thread for 010468ID TID: 10468
PID 10402 created thread for 010469ID TID: 10469
PID 10405 created thread for 010470ID TID: 10470
PID 10406 created thread for 010471ID TID: 10471
PID 10406 created thread for 010472ID TID: 10472
PID 10405 created thread for 010473ID TID: 10473
PID 10406 created thread for 010475ID TID: 10475
PID 10405 created thread for 010476ID TID: 10476
PID 10402 created thread for 010474ID TID: 10474
PID 10406 created thread for 010478ID TID: 10478
PID 10405 created thread for 010477ID TID: 10477
PID 10402 created thread for 010479ID TID: 10479
PID 10406 created thread for 010480ID TID: 10480
PID 10406 created thread for 010481ID TID: 10481
PID 10405 created thread for 010482ID TID: 10482
PID 10405 created thread for 010485ID TID: 10485
PID 10402 created thread for 010483ID TID: 10483
PID 10406 created thread for 010484ID TID: 10484
PID 10405 created thread for 010486ID TID: 10486
PID 10406 created thread for 010488ID TID: 10488
PID 10402 created thread for 010487ID TID: 10487
PID 10405 created thread for 010489ID TID: 10489
PID 10402 created thread for 010490ID TID: 10490
PID 10406 created thread for 010491ID TID: 10491
PID 10405 created thread for 010492ID TID: 10492
PID 10406 created thread for 010494ID TID: 10494
PID 10402 created thread for 010493ID TID: 10493
PID 10405 created thread for 010495ID TID: 10495
PID 10406 created thread for 010498ID TID: 10498
PID 10405 created thread for 010496ID TID: 10496
PID 10402 created thread for 010497ID TID: 10497
PID 10402 created thread for 010500ID TID: 10500
PID 10405 created thread for 010499ID TID: 10499
PID 10406 created thread for 010501ID TID: 10501
PID 10405 created thread for 010502ID TID: 10502
PID 10406 created thread for 010504ID TID: 10504
PID 10402 created thread for 010503ID TID: 10503
PID 10405 created thread for 010505ID TID: 10505
PID 10402 created thread for 010508ID TID: 10508
PID 10406 created thread for 010507ID TID: 10507
PID 10405 created thread for 010506ID TID: 10506
PID 10406 created thread for 010510ID TID: 10510
PID 10402 created thread for 010509ID TID: 10509
PID 10406 created thread for 010511ID TID: 10511
PID 10406 created thread for 010513ID TID: 10513
PID 10402 created thread for 010512ID TID: 10512
PID 10405 created thread for 010514ID TID: 10514
PID 10406 created thread for 010515ID TID: 10515
PID 10402 created thread for 010516ID TID: 10516
PID 10405 created thread for 010517ID TID: 10517
PID 10406 created thread for 010518ID TID: 10518
PID 10402 created thread for 010519ID TID: 10519
PID 10402 created thread for 010520ID TID: 10520
PID 10405 created thread for 010521ID TID: 10521
PID 10406 created thread for 010522ID TID: 10522
PID 10405 created thread for 010523ID TID: 10523
PID 10406 created thread for 010524ID TID: 10524
PID 10405 created thread for 010526ID TID: 10526
PID 10402 created thread for 010525ID TID: 10525
PID 10406 created thread for 010527ID TID: 10527
PID 10405 created thread for 010528ID TID: 10528
PID 10402 created thread for 010529ID TID: 10529
PID 10405 created thread for 010530ID TID: 10530
PID 10406 created thread for 010531ID TID: 10531
PID 10402 created thread for 010533ID TID: 10533
PID 10405 created thread for 010532ID TID: 10532
PID 10406 created thread for 010534ID TID: 10534
PID 10402 created thread for 010537ID TID: 10537
PID 10406 created thread for 010535ID TID: 10535
PID 10405 created thread for 010536ID TID: 10536
PID 10406 created thread for 010538ID TID: 10538
PID 10402 created thread for 010539ID TID: 10539
PID 10406 created thread for 010540ID TID: 10540
PID 10405 created thread for 010541ID TID: 10541
PID 10402 created thread for 010542ID TID: 10542
PID 10405 created thread for 010543ID TID: 10543
PID 10405 created thread for 010544ID TID: 10544
PID 10402 created thread for 010545ID TID: 10545
PID 10402 created thread for 010547ID TID: 10547
PID 10406 created thread for 010546ID TID: 10546
PID 10402 created thread for 010548ID TID: 10548
PID 10405 created thread for 010549ID TID: 10549
PID 10402 created thread for 010550ID TID: 10550
PID 10405 created thread for 010551ID TID: 10551
PID 10402 created thread for 010552ID TID: 10552
PID 10402 created thread for 010553ID TID: 10553
PID 10406 created thread for 010554ID TID: 10554
PID 10405 created thread for 010555ID TID: 10555
PID 10402 created thread for 010556ID TID: 10556
PID 10406 created thread for 010557ID TID: 10557
PID 10402 created thread for 010559ID TID: 10559
PID 10405 created thread for 010558ID TID: 10558
PID 10406 created thread for 010560ID TID: 10560
PID 10402 created thread for 010562ID TID: 10562
PID 10405 created thread for 010561ID TID: 10561
PID 10406 created thread for 010563ID TID: 10563
PID 10402 created thread for 010564ID TID: 10564
PID 10405 created thread for 010565ID TID: 10565
PID 10406 created thread for 010566ID TID: 10566
PID 10405 created thread for 010567ID TID: 10567
PID 10402 created thread for 010569ID TID: 10569
PID 10406 created thread for 010568ID TID: 10568
PID 10402 created thread for 010570ID TID: 10570
PID 10405 created thread for 010571ID TID: 10571
PID 10406 created thread for 010572ID TID: 10572
PID 10402 created thread for 010573ID TID: 10573
PID 10405 created thread for 010574ID TID: 10574
PID 10402 created thread for 010575ID TID: 10575
PID 10405 created thread for 010576ID TID: 10576
PID 10405 created thread for 010578ID TID: 10578
PID 10402 created thread for 010577ID TID: 10577
PID 10402 created thread for 010580ID TID: 10580
PID 10405 created thread for 010579ID TID: 10579
PID 10406 created thread for 010581ID TID: 10581
PID 10402 created thread for 010582ID TID: 10582
PID 10402 created thread for 010583ID TID: 10583
PID 10405 created thread for 010584ID TID: 10584
PID 10402 created thread for 010585ID TID: 10585
PID 10402 created thread for 010587ID TID: 10587
PID 10406 created thread for 010586ID TID: 10586
PID 10402 created thread for 010589ID TID: 10589
PID 10402 created thread for 010591ID TID: 10591
PID 10406 created thread for 010590ID TID: 10590
PID 10405 created thread for 010588ID TID: 10588
PID 10402 created thread for 010592ID TID: 10592
PID 10406 created thread for 010593ID TID: 10593
PID 10402 created thread for 010594ID TID: 10594
PID 10405 created thread for 010595ID TID: 10595
PID 10402 created thread for 010596ID TID: 10596
PID 10405 created thread for 010597ID TID: 10597
PID 10402 created thread for 010599ID TID: 10599
PID 10406 created thread for 010598ID TID: 10598
PID 10402 created thread for 010600ID TID: 10600
PID 10402 created thread for 010602ID TID: 10602
PID 10406 created thread for 010601ID TID: 10601
PID 10402 created thread for 010603ID TID: 10603
PID 10402 created thread for 010604ID TID: 10604
PID 10402 created thread for 010606ID TID: 10606
