PID 4908 created child for Store1 PID:9375
PID 4908 created child for Store2 PID:9376
PID 4908 created child for Store3 PID:9378
PID 9375 created child for Apparel PID: 9377
PID 9376 created child for Apparel PID: 9379
PID 9378 created child for Apparel PID: 9380
PID 9377 created thread for 009381ID TID: 9381
PID 9377 created thread for 009384ID TID: 9384
PID 9380 created thread for 009382ID TID: 9382
PID 9379 created thread for 009383ID TID: 9383
PID 9377 created thread for 009385ID TID: 9385
PID 9380 created thread for 009386ID TID: 9386
PID 9379 created thread for 009387ID TID: 9387
PID 9377 created thread for 009388ID TID: 9388
PID 9379 created thread for 009389ID TID: 9389
PID 9380 created thread for 009390ID TID: 9390
PID 9377 created thread for 009391ID TID: 9391
PID 9377 created thread for 009393ID TID: 9393
PID 9379 created thread for 009394ID TID: 9394
PID 9377 created thread for 009395ID TID: 9395
PID 9380 created thread for 009392ID TID: 9392
PID 9379 created thread for 009396ID TID: 9396
PID 9380 created thread for 009397ID TID: 9397
PID 9377 created thread for 009398ID TID: 9398
PID 9379 created thread for 009399ID TID: 9399
PID 9380 created thread for 009400ID TID: 9400
PID 9377 created thread for 009401ID TID: 9401
PID 9379 created thread for 009402ID TID: 9402
PID 9379 created thread for 009405ID TID: 9405
PID 9380 created thread for 009404ID TID: 9404
PID 9377 created thread for 009406ID TID: 9406
PID 9380 created thread for 009407ID TID: 9407
PID 9379 created thread for 009408ID TID: 9408
PID 9377 created thread for 009409ID TID: 9409
PID 9380 created thread for 009411ID TID: 9411
PID 9380 created thread for 009413ID TID: 9413
PID 9377 created thread for 009412ID TID: 9412
PID 9379 created thread for 009410ID TID: 9410
PID 9380 created thread for 009414ID TID: 9414
PID 9379 created thread for 009415ID TID: 9415
PID 9377 created thread for 009416ID TID: 9416
PID 9379 created thread for 009418ID TID: 9418
PID 9380 created thread for 009419ID TID: 9419
PID 9379 created thread for 009420ID TID: 9420
PID 9377 created thread for 009417ID TID: 9417
PID 9379 created thread for 009421ID TID: 9421
PID 9377 created thread for 009422ID TID: 9422
PID 9380 created thread for 009423ID TID: 9423
PID 9380 created thread for 009425ID TID: 9425
PID 9377 created thread for 009424ID TID: 9424
PID 9379 created thread for 009426ID TID: 9426
PID 9380 created thread for 009427ID TID: 9427
PID 9379 created thread for 009429ID TID: 9429
PID 9380 created thread for 009428ID TID: 9428
PID 9377 created thread for 009430ID TID: 9430
PID 9380 created thread for 009431ID TID: 9431
PID 9379 created thread for 009432ID TID: 9432
PID 9377 created thread for 009434ID TID: 9434
PID 9380 created thread for 009433ID TID: 9433
PID 9379 created thread for 009435ID TID: 9435
PID 9380 created thread for 009436ID TID: 9436
PID 9377 created thread for 009437ID TID: 9437
PID 9380 created thread for 009440ID TID: 9440
PID 9379 created thread for 009438ID TID: 9438
PID 9377 created thread for 009439ID TID: 9439
PID 9380 created thread for 009441ID TID: 9441
PID 9379 created thread for 009442ID TID: 9442
PID 9377 created thread for 009443ID TID: 9443
PID 9380 created thread for 009444ID TID: 9444
PID 9377 created thread for 009445ID TID: 9445
PID 9380 created thread for 009446ID TID: 9446
PID 9379 created thread for 009447ID TID: 9447
PID 9380 created thread for 009449ID TID: 9449
PID 9377 created thread for 009448ID TID: 9448
PID 9379 created thread for 009450ID TID: 9450
PID 9380 created thread for 009451ID TID: 9451
PID 9379 created thread for 009452ID TID: 9452
PID 9380 created thread for 009454ID TID: 9454
PID 9377 created thread for 009453ID TID: 9453
PID 9379 created thread for 009455ID TID: 9455
PID 9377 created thread for 009456ID TID: 9456
PID 9380 created thread for 009457ID TID: 9457
PID 9379 created thread for 009458ID TID: 9458
PID 9380 created thread for 009459ID TID: 9459
PID 9377 created thread for 009460ID TID: 9460
PID 9377 created thread for 009462ID TID: 9462
PID 9380 created thread for 009461ID TID: 9461
PID 9377 created thread for 009463ID TID: 9463
PID 9379 created thread for 009464ID TID: 9464
PID 9380 created thread for 009465ID TID: 9465
PID 9380 created thread for 009468ID TID: 9468
PID 9377 created thread for 009466ID TID: 9466
PID 9379 created thread for 009467ID TID: 9467
PID 9380 created thread for 009469ID TID: 9469
PID 9379 created thread for 009471ID TID: 9471
PID 9377 created thread for 009470ID TID: 9470
PID 9380 created thread for 009472ID TID: 9472
PID 9379 created thread for 009474ID TID: 9474
PID 9377 created thread for 009473ID TID: 9473
PID 9380 created thread for 009476ID TID: 9476
